file name,scn,smp,ech,dur,viw,sli,fov,sub,,slices
us_0023_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0024_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0025_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0026_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0027_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0028_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0029_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0030_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0031_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0032_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0033_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0034_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0035_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0036_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0037_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0038_3T.h5,30pris,pse,asy,shr,lax,ind,ali,vol,,1
us_0039_3T.h5,30pris,pse,asy,shr,lax,ind,ali,vol,,1
us_0040_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0041_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0042_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0043_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0044_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0045_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0046_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0047_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0048_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0049_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0050_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0051_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0052_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0053_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0054_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0055_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0056_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0057_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0058_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0059_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0060_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0061_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0062_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0063_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0064_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0065_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0066_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0067_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0068_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0069_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0070_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0071_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0072_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0073_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0074_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0075_3T.h5,30pris,pse,asy,shr,sax,ind,noa,vol,,1
us_0076_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0077_3T.h5,30pris,pse,asy,shr,lax,ind,noa,vol,,1
us_0078_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0079_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0080_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,10
us_0081_1_5T.h5,15avan,pse,asy,lng,sax,stk,noa,vol,,10
us_0082_1_5T.h5,15avan,pse,asy,lng,lax,ind,noa,vol,,1
us_0083_1_5T.h5,15avan,pse,asy,lng,lax,ind,noa,vol,,1
us_0084_1_5T.h5,15avan,pse,asy,lng,sax,stk,noa,vol,,12
us_0085_1_5T.h5,15avan,pse,asy,lng,lax,ind,noa,vol,,1
us_0086_1_5T.h5,15avan,pse,asy,lng,lax,ind,noa,vol,,1
us_0087_1_5T.h5,15avan,pse,sym,shr,lax,ind,ali,vol,,1
us_0088_1_5T.h5,15avan,pse,sym,shr,sax,stk,noa,vol,,3
us_0089_1_5T.h5,15avan,pse,sym,shr,lax,ind,noa,vol,,1
us_0090_1_5T.h5,15avan,pse,sym,shr,lax,ind,noa,vol,,1
us_0091_1_5T.h5,15avan,pse,sym,shr,sax,stk,noa,vol,,3
us_0092_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0093_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0094_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0095_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0096_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0097_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0098_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0099_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0100_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0101_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0102_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0103_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0104_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0105_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0106_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0107_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0108_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0109_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0110_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0111_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,10
us_0112_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0113_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0114_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0115_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0116_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0117_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0118_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0119_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0120_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0121_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0122_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0123_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0124_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0125_1_5T.h5,15avan,pse,asy,shr,sax,stk,noa,vol,,3
us_0126_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0127_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0128_1_5T.h5,15avan,pse,asy,lng,sax,stk,noa,vol,,10
us_0129_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0130_1_5T.h5,15avan,pse,asy,shr,lax,ind,ali,vol,,1
us_0131_1_5T.h5,15avan,pse,asy,shr,lax,ind,noa,vol,,1
us_0132_1_5T.h5,15avan,pse,asy,shr,lax,ind,ali,vol,,1
us_0133_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0134_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0135_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0136_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0137_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0138_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0139_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0140_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,16
us_0141_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0142_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0143_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0144_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,3
us_0145_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,3
us_0146_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0147_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,9
us_0148_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0149_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0150_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0151_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,9
us_0152_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,9
us_0153_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0154_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0155_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,ali,pat,,11
us_0156_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0157_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0158_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,9
us_0159_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,9
us_0160_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,9
us_0161_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,ali,pat,,9
us_0162_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,7
us_0163_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,13
us_0164_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,10
us_0165_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,6
us_0166_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0167_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0168_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,ali,pat,,1
us_0169_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,12
us_0170_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,14
us_0171_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,12
us_0172_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,13
us_0173_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,12
us_0174_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,12
us_0175_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,12
us_0176_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,ali,pat,,13
us_0177_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,ali,pat,,12
us_0178_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,ali,pat,,14
us_0179_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,13
us_0180_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,9
us_0181_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,9
us_0182_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,11
us_0183_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,13
us_0184_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,11
us_0185_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,ali,pat,,1
us_0186_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0187_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0188_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0189_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0190_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,ali,pat,,3
us_0191_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0192_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0193_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0194_pt_1_5T.h5,15sola,pse,asy,shr,lax,ind,noa,pat,,1
us_0195_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,12
us_0196_pt_1_5T.h5,15sola,pse,asy,shr,lax,stk,noa,pat,,11
us_0197_pt_1_5T.h5,15sola,pse,asy,shr,sax,stk,noa,pat,,13
us_0198_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,12
us_0199_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,12
us_0200_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,17
us_0201_pt_1_5T.h5,15sola,pse,asy,lng,lax,stk,ali,pat,,7
us_0202_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,ali,pat,,12
us_0203_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,ali,pat,,12
us_0204_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,12
us_0205_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,11
us_0206_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,11
us_0207_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,13
us_0208_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,11
us_0209_pt_1_5T.h5,15sola,pse,asy,lng,lax,stk,noa,pat,,7
us_0210_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,11
us_0211_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,noa,pat,,13
us_0212_pt_1_5T.h5,15sola,pse,asy,lng,sax,stk,ali,pat,,13
